Timestamp,File,Original,Fixed,Type,Change,Size,Fragment,Block
2025-08-03T00:03:27.082Z,"drafts/OpenCivics-Wiki/OpenCivics Concepts/Theory of Change.md","![Participatory Activities](drafts/OpenCivics-Wiki/OpenCivics%20Concepts/Participatory%20Activities.md)","![[drafts/OpenCivics-Wiki/OpenCivics%20Concepts/Participatory%20Activities.md]]",note,note,NO,NO,NO
2025-08-03T00:03:27.082Z,"drafts/OpenCivics-Wiki/OpenCivics Concepts/Theory of Change.md","![Design Principles](drafts/OpenCivics-Wiki/OpenCivics%20Concepts/Design%20Principles.md)","![[drafts/OpenCivics-Wiki/OpenCivics%20Concepts/Design%20Principles.md]]",note,note,NO,NO,NO
2025-08-03T00:03:27.082Z,"drafts/OpenCivics-Wiki/OpenCivics Concepts/Practice Ethics.md","![Personal Ethics](drafts/OpenCivics-Wiki/OpenCivics%20Concepts/Personal%20Ethics.md)","![[drafts/OpenCivics-Wiki/OpenCivics%20Concepts/Personal%20Ethics.md]]",note,note,NO,NO,NO
2025-08-03T00:03:27.082Z,"drafts/OpenCivics-Wiki/OpenCivics Concepts/Practice Ethics.md","![System Design Ethics](drafts/OpenCivics-Wiki/OpenCivics%20Concepts/System%20Design%20Ethics.md)","![[drafts/OpenCivics-Wiki/OpenCivics%20Concepts/System%20Design%20Ethics.md]]",note,note,NO,NO,NO
2025-08-03T00:03:27.082Z,"drafts/OpenCivics-Wiki/OpenCivics Concepts/Participatory Design Process.md","![500](drafts/OpenCivics-Wiki/Meta/Attachments/pdp_20241202.png)","![500](drafts/OpenCivics-Wiki/Meta/Attachments/pdp_20241202.png)",image,image_unchanged,NO,NO,NO
2025-08-03T00:03:27.082Z,"drafts/OpenCivics-Wiki/OpenCivics Concepts/Participatory Design Process.md","![Participatory Activities](drafts/OpenCivics-Wiki/OpenCivics%20Concepts/Participatory%20Activities.md)","![[drafts/OpenCivics-Wiki/OpenCivics%20Concepts/Participatory%20Activities.md]]",note,note,NO,NO,NO
2025-08-03T00:03:27.082Z,"drafts/OpenCivics-Wiki/OpenCivics Concepts/Open Protocols.md","![The Nature Of Protocols - The Protocols Of Nature](drafts/OpenCivics-Wiki/OpenCivics%20Concepts/The%20Nature%20Of%20Protocols%20-%20The%20Protocols%20Of%20Nature.md)","![[drafts/OpenCivics-Wiki/OpenCivics%20Concepts/The%20Nature%20Of%20Protocols%20-%20The%20Protocols%20Of%20Nature.md]]",note,note,NO,NO,NO
2025-08-03T00:03:27.082Z,"drafts/OpenCivics-Wiki/OpenCivics Concepts/Glossary.md","![agent centric](drafts/OpenCivics-Wiki/OpenCivics%20Concepts/Glossary/agent%20centric.md)","![[drafts/OpenCivics-Wiki/OpenCivics%20Concepts/Glossary/agent%20centric.md]]",note,note,NO,NO,NO
2025-08-03T00:03:27.082Z,"drafts/OpenCivics-Wiki/OpenCivics Concepts/Glossary.md","![attractor](drafts/OpenCivics-Wiki/OpenCivics%20Concepts/Glossary/attractor.md)","![[drafts/OpenCivics-Wiki/OpenCivics%20Concepts/Glossary/attractor.md]]",note,note,NO,NO,NO
2025-08-03T00:03:27.082Z,"drafts/OpenCivics-Wiki/OpenCivics Concepts/Glossary.md","![bioregion](drafts/OpenCivics-Wiki/OpenCivics%20Concepts/Glossary/bioregion.md)","![[drafts/OpenCivics-Wiki/OpenCivics%20Concepts/Glossary/bioregion.md]]",note,note,NO,NO,NO
